Stimulus,ELP_N_morphs,Crowdsourced_Mean_Morpheme_Count,Crowdsourced_Raw_SD,Crowdsourced_Raw_Median,Crowdsourced_Min,Crowdsourced_Max,Crowdsourced_N,BLUP_Adjusted_Moprheme_Count,BLUP_Adjustment,Transparencey_Measures: ,Signed_Discrepancy_BLUP_minus_ELP,Absolute_Discrepancy,Transparency_Proximity_0_1,Undersegmentation,Oversegmentation,BLUP_Rounded,Item_Rest_Cor,Item_Rest_N
coastal,2.00,1.92,0.29,2.00,1.00,2.00,12.00,2.03,-0.68,,0.03,0.03,0.97,0.00,0.03,2.00,0.20,12.00
context,2.00,1.90,0.32,2.00,1.00,2.00,10.00,2.06,-0.65,,0.06,0.06,0.95,0.00,0.06,2.00,-0.08,10.00
cowardly,2.00,2.10,0.32,2.00,2.00,3.00,10.00,2.27,-0.44,,0.27,0.27,0.79,0.00,0.27,2.00,0.65,10.00
crackers,3.00,2.50,0.52,2.50,2.00,3.00,12.00,2.44,-0.26,,-0.56,0.56,0.64,0.56,0.00,2.00,-0.11,12.00
craziest,3.00,2.27,0.47,2.00,2.00,3.00,11.00,2.24,-0.47,,-0.76,0.76,0.57,0.76,0.00,2.00,0.72,11.00
cyclical,3.00,2.23,0.73,2.00,1.00,3.00,13.00,2.27,-0.43,,-0.73,0.73,0.58,0.73,0.00,2.00,0.88,13.00
deliberately,3.00,3.27,1.10,3.00,2.00,5.00,11.00,3.22,0.51,,0.22,0.22,0.82,0.00,0.22,3.00,0.54,11.00
dismisses,3.00,2.75,0.45,3.00,2.00,3.00,12.00,2.83,0.13,,-0.17,0.17,0.86,0.17,0.00,3.00,0.55,12.00
dismount,2.00,2.07,0.26,2.00,2.00,3.00,15.00,2.17,-0.53,,0.17,0.17,0.85,0.00,0.17,2.00,-0.09,15.00
drier,2.00,1.82,0.40,2.00,1.00,2.00,11.00,1.95,-0.75,,-0.05,0.05,0.95,0.05,0.00,2.00,0.08,11.00
eagerness,2.00,2.50,0.52,2.50,2.00,3.00,12.00,2.48,-0.23,,0.48,0.48,0.68,0.00,0.48,2.00,0.37,12.00
eeriness,2.00,2.50,0.53,2.50,2.00,3.00,10.00,2.48,-0.23,,0.48,0.48,0.68,0.00,0.48,2.00,0.60,10.00
elitist,2.00,2.08,0.29,2.00,2.00,3.00,12.00,2.02,-0.69,,0.02,0.02,0.98,0.00,0.02,2.00,-0.43,12.00
emptiest,2.00,2.27,0.47,2.00,2.00,3.00,11.00,2.27,-0.44,,0.27,0.27,0.79,0.00,0.27,2.00,0.73,11.00
energize,2.00,2.00,0.43,2.00,1.00,3.00,12.00,2.30,-0.41,,0.30,0.30,0.77,0.00,0.30,2.00,0.30,12.00
equilibria,3.00,2.43,0.53,2.00,2.00,3.00,7.00,2.37,-0.33,,-0.63,0.63,0.61,0.63,0.00,2.00,0.47,7.00
fabulously,3.00,2.36,0.50,2.00,2.00,3.00,11.00,2.43,-0.27,,-0.57,0.57,0.64,0.57,0.00,2.00,0.68,11.00
farmer,2.00,1.89,0.33,2.00,1.00,2.00,9.00,2.06,-0.65,,0.06,0.06,0.95,0.00,0.06,2.00,-0.06,9.00
femoral,2.00,2.18,0.60,2.00,1.00,3.00,11.00,2.21,-0.50,,0.21,0.21,0.83,0.00,0.21,2.00,0.72,11.00
fisher,2.00,2.00,0.00,2.00,2.00,2.00,7.00,2.10,-0.60,,0.10,0.10,0.91,0.00,0.10,2.00,,7.00
flattery,2.00,2.45,0.52,2.00,2.00,3.00,11.00,2.53,-0.17,,0.53,0.53,0.65,0.00,0.53,3.00,0.23,11.00
floral,3.00,2.00,0.43,2.00,1.00,3.00,12.00,1.93,-0.78,,-1.07,1.07,0.48,1.07,0.00,2.00,0.38,12.00
florists,3.00,2.36,0.67,2.00,1.00,3.00,11.00,2.35,-0.36,,-0.65,0.65,0.61,0.65,0.00,2.00,0.74,11.00
foreknowledge,3.00,2.92,0.49,3.00,2.00,4.00,13.00,2.89,0.19,,-0.11,0.11,0.90,0.11,0.00,3.00,0.42,13.00
freedom,2.00,1.67,0.49,2.00,1.00,2.00,12.00,1.78,-0.92,,-0.22,0.22,0.82,0.22,0.00,2.00,0.36,12.00
gayest,2.00,2.00,0.00,2.00,2.00,2.00,8.00,2.11,-0.59,,0.11,0.11,0.90,0.00,0.11,2.00,,8.00
glossary,2.00,2.17,0.83,2.00,1.00,3.00,12.00,2.10,-0.61,,0.10,0.10,0.91,0.00,0.10,2.00,0.75,12.00
goddess,2.00,1.83,0.39,2.00,1.00,2.00,12.00,1.77,-0.93,,-0.23,0.23,0.81,0.23,0.00,2.00,0.60,12.00
grocery,2.00,1.73,0.90,1.00,1.00,3.00,11.00,1.92,-0.79,,-0.08,0.08,0.93,0.08,0.00,2.00,0.70,11.00
hollowness,2.00,2.20,0.42,2.00,2.00,3.00,10.00,2.28,-0.43,,0.28,0.28,0.78,0.00,0.28,2.00,0.19,10.00
hurdlers,3.00,2.33,0.65,2.00,1.00,3.00,12.00,2.49,-0.22,,-0.51,0.51,0.66,0.51,0.00,2.00,0.67,12.00
icier,3.00,2.55,0.52,3.00,2.00,3.00,11.00,2.37,-0.33,,-0.63,0.63,0.61,0.63,0.00,2.00,-0.33,11.00
imaginable,3.00,2.27,0.47,2.00,2.00,3.00,11.00,2.31,-0.39,,-0.69,0.69,0.59,0.69,0.00,2.00,0.68,11.00
indefinite,4.00,2.58,0.67,2.50,2.00,4.00,12.00,2.76,0.06,,-1.24,1.24,0.45,1.24,0.00,3.00,0.70,12.00
infamous,3.00,2.30,0.48,2.00,2.00,3.00,10.00,2.46,-0.24,,-0.54,0.54,0.65,0.54,0.00,2.00,0.61,10.00
insecure,2.00,2.27,0.47,2.00,2.00,3.00,11.00,2.27,-0.43,,0.27,0.27,0.78,0.00,0.27,2.00,0.70,11.00
kinsman,3.00,2.42,0.51,2.00,2.00,3.00,12.00,2.42,-0.28,,-0.58,0.58,0.63,0.58,0.00,2.00,-0.16,12.00
latest,2.00,2.00,0.00,2.00,2.00,2.00,11.00,2.17,-0.53,,0.17,0.17,0.85,0.00,0.17,2.00,,11.00
leftist,2.00,2.00,0.00,2.00,2.00,2.00,12.00,2.04,-0.66,,0.04,0.04,0.96,0.00,0.04,2.00,,12.00
liner,2.00,1.83,0.39,2.00,1.00,2.00,12.00,1.95,-0.76,,-0.05,0.05,0.95,0.05,0.00,2.00,0.53,12.00
loafers,3.00,2.42,0.67,2.50,1.00,3.00,12.00,2.54,-0.17,,-0.46,0.46,0.68,0.46,0.00,3.00,0.33,12.00
locker,2.00,1.73,0.47,2.00,1.00,2.00,11.00,1.78,-0.92,,-0.22,0.22,0.82,0.22,0.00,2.00,0.48,11.00
loosen,2.00,2.00,0.47,2.00,1.00,3.00,10.00,2.07,-0.63,,0.07,0.07,0.93,0.00,0.07,2.00,0.10,10.00
lower,2.00,1.83,0.39,2.00,1.00,2.00,12.00,1.87,-0.83,,-0.13,0.13,0.89,0.13,0.00,2.00,0.00,12.00
marriageable,3.00,2.36,0.67,2.00,2.00,4.00,11.00,2.46,-0.24,,-0.54,0.54,0.65,0.54,0.00,2.00,0.68,11.00
mechanize,2.00,2.25,0.45,2.00,2.00,3.00,12.00,2.31,-0.40,,0.31,0.31,0.77,0.00,0.31,2.00,0.29,12.00
merger,2.00,1.92,0.29,2.00,1.00,2.00,12.00,1.88,-0.83,,-0.12,0.12,0.89,0.12,0.00,2.00,0.30,12.00
microscope,2.00,2.73,0.65,3.00,2.00,4.00,11.00,2.75,0.04,,0.75,0.75,0.57,0.00,0.75,3.00,0.29,11.00
migration,3.00,2.00,0.60,2.00,1.00,3.00,12.00,2.01,-0.69,,-0.99,0.99,0.50,0.99,0.00,2.00,0.69,12.00
miler,2.00,1.71,0.49,2.00,1.00,2.00,7.00,2.03,-0.67,,0.03,0.03,0.97,0.00,0.03,2.00,0.87,7.00
minder,2.00,1.91,0.30,2.00,1.00,2.00,11.00,2.05,-0.66,,0.05,0.05,0.96,0.00,0.05,2.00,0.59,11.00
miscount,2.00,2.00,0.00,2.00,2.00,2.00,11.00,1.99,-0.71,,-0.01,0.01,0.99,0.01,0.00,2.00,,11.00
mysterious,3.00,2.55,0.69,2.00,2.00,4.00,11.00,2.51,-0.19,,-0.49,0.49,0.67,0.49,0.00,3.00,0.79,11.00
necessary,2.00,1.90,0.74,2.00,1.00,3.00,10.00,1.99,-0.72,,-0.01,0.01,0.99,0.01,0.00,2.00,0.80,10.00
nominated,3.00,2.69,0.85,2.00,2.00,4.00,13.00,2.60,-0.10,,-0.40,0.40,0.72,0.40,0.00,3.00,0.51,13.00
numbly,2.00,2.00,0.00,2.00,2.00,2.00,13.00,2.03,-0.67,,0.03,0.03,0.97,0.00,0.03,2.00,,13.00
occupier,2.00,2.50,0.67,2.00,2.00,4.00,12.00,2.48,-0.23,,0.48,0.48,0.68,0.00,0.48,2.00,0.38,12.00
onset,2.00,1.90,0.32,2.00,1.00,2.00,10.00,2.01,-0.70,,0.01,0.01,0.99,0.00,0.01,2.00,0.16,10.00
overdoing,3.00,2.60,0.52,3.00,2.00,3.00,10.00,2.65,-0.06,,-0.35,0.35,0.74,0.35,0.00,3.00,0.45,10.00
